,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
135,waycross,1,US,1577326147,71,31.21,-82.35,55.4,5.82
136,zhangye,0,CN,1577326147,20,38.94,100.46,24.12,5.03
137,luanda,75,AO,1577325965,83,-8.83,13.24,80.6,6.93
138,nanortalik,77,GL,1577326148,63,60.14,-45.24,32.07,7.09
139,bethel,1,US,1577326149,75,60.79,-161.76,-9.4,9.17
140,namibe,98,AO,1577326149,82,-15.19,12.15,72.9,3.53
141,shu,95,KZ,1577326149,45,43.6,73.76,25.39,2.42
142,te anau,93,NZ,1577326150,68,-45.41,167.72,57.79,10.04
143,mineiros,84,BR,1577326150,82,-17.57,-52.55,70.0,1.28
144,palmer,0,AU,1577326150,50,-34.85,139.16,91.0,13.87
145,naron,41,ES,1577326154,81,43.52,-8.15,51.01,6.93
146,rawson,11,AR,1577326154,57,-43.3,-65.11,62.67,10.09
147,khatanga,66,RU,1577326154,98,71.98,102.47,-26.45,7.94
148,kangaatsiaq,0,GL,1577326154,53,68.31,-53.46,12.02,9.46
149,ternovskaya,100,RU,1577326154,80,45.86,40.4,41.76,9.82
150,fairbanks,75,US,1577326155,75,64.84,-147.72,-14.8,1.83
151,mongoumba,68,CD,1577326155,38,3.64,18.59,70.68,2.86
152,cap malheureux,75,MU,1577326155,78,-19.98,57.61,79.0,17.22
153,dhidhdhoo,71,MV,1577326155,77,6.88,73.1,82.81,15.66
154,ustupo,72,PA,1577326156,97,9.13,-77.93,73.94,2.62
155,hay river,75,CA,1577326156,77,60.82,-115.79,3.2,3.36
156,victor harbor,0,AU,1577326156,50,-35.55,138.62,91.0,13.87
157,vurnary,91,RU,1577326156,89,55.49,46.95,15.35,5.41
158,mount gambier,0,AU,1577326073,49,-37.83,140.78,71.6,16.11
159,kathu,54,ZA,1577326156,28,-27.7,23.05,68.0,7.78
160,sitka,67,US,1577326157,33,37.17,-99.65,58.78,16.46
161,leh,0,IN,1577326157,32,34.16,77.58,-6.14,2.77
162,sioux lookout,90,CA,1577326157,86,50.1,-91.92,26.6,5.82
163,adrar,63,DZ,1577326158,50,27.87,-0.29,53.6,13.87
164,victoria,75,BN,1577326158,88,5.28,115.24,80.6,2.24
165,nouakchott,0,MR,1577326159,29,18.08,-15.98,66.2,4.7
166,atuona,33,PF,1577326159,72,-9.8,-139.03,81.41,15.9
167,riyadh,0,SA,1577326160,54,24.63,46.72,53.6,4.7
168,barrow,0,AR,1577326163,45,-38.31,-60.23,59.09,16.49
169,lively,1,US,1577326163,76,33.6,-99.18,57.0,6.93
170,tautira,75,PF,1577326163,62,-17.73,-149.15,84.2,6.93
171,altay,100,CN,1577326163,90,47.83,88.13,2.05,2.37
172,avarua,2,CK,1577326167,61,-21.21,-159.78,78.8,12.75
173,kaitangata,100,NZ,1577326167,79,-46.28,169.85,60.01,10.0
174,linjiang,100,CN,1577326168,74,41.81,126.91,14.41,3.15
175,fuerte olimpo,9,BR,1577326170,64,-21.04,-57.87,83.75,6.33
176,fukue,75,JP,1577326170,66,35.03,136.69,51.01,12.75
177,nome,1,US,1577326170,87,30.04,-94.42,61.0,3.36
178,deniliquin,0,AU,1577326170,13,-35.53,144.96,98.51,9.48
179,bredasdorp,47,ZA,1577326170,55,-34.53,20.04,63.0,6.93
180,provideniya,16,RU,1577326171,64,64.42,-173.23,-2.2,4.47
181,puerto del rosario,100,ES,1577326171,72,28.5,-13.86,69.8,5.82
182,esperance,100,AU,1577326171,51,-33.86,121.89,86.0,13.87
183,ancud,100,CL,1577326171,76,-41.87,-73.83,53.6,6.93
184,kurumkan,100,RU,1577326171,90,54.33,110.32,-10.8,1.25
185,ramhormoz,0,IR,1577326171,54,31.28,49.6,56.03,6.96
186,krasnoye-na-volge,90,RU,1577326172,100,57.51,41.24,30.2,6.71
187,mercedes,72,UY,1577326173,81,-33.25,-58.03,68.0,18.99
188,howard springs,20,AU,1577326173,55,-12.5,131.05,93.99,5.82
189,cape town,40,ZA,1577326173,72,-33.93,18.42,61.0,12.75
190,agaro,2,ET,1577326174,80,7.86,36.59,53.64,3.49
191,hambantota,75,LK,1577326174,100,6.12,81.12,73.4,2.24
192,geraldton,90,CA,1577326175,92,49.72,-86.95,17.6,10.29
193,madang,0,CN,1577326176,45,35.32,102.79,16.57,3.42
194,sao miguel do araguaia,100,BR,1577326024,86,-13.28,-50.16,74.7,3.6
195,kahului,91,US,1577326047,78,20.89,-156.47,82.4,20.8
196,ilulissat,0,GL,1577326177,35,69.22,-51.1,8.6,1.12
197,cuamba,99,MZ,1577326177,98,-14.8,36.54,68.04,1.32
198,tiksi,93,RU,1577326177,99,71.64,128.87,-28.71,2.68
199,jumla,0,NP,1577326178,15,29.28,82.18,28.13,2.71
200,qaanaaq,95,GL,1577326178,94,77.48,-69.36,-1.43,4.74
201,mikhaylovskaya,100,RU,1577326183,71,44.99,40.6,45.01,3.87
202,north myrtle beach,1,US,1577326185,100,33.83,-78.68,51.8,6.06
203,oranjemund,0,ZA,1577326185,89,-28.55,16.43,53.04,2.3
204,kavaratti,0,IN,1577326185,74,10.57,72.64,82.78,6.04
205,berea,1,US,1577326047,66,37.57,-84.3,57.2,8.14
206,tazovskiy,83,RU,1577326185,96,67.47,78.7,-16.17,10.09
207,lodwar,28,KE,1577326185,51,3.12,35.6,82.44,3.69
208,garissa,0,KE,1577326188,84,-0.46,39.64,75.2,5.44
209,peniche,20,PT,1577326188,87,39.36,-9.38,57.0,6.93
210,sao joao da barra,34,BR,1577326188,86,-21.64,-41.05,75.78,13.47
211,glace bay,90,CA,1577326188,63,46.2,-59.96,27.0,13.87
212,amherst,90,US,1577326053,86,42.98,-78.8,37.4,10.29
213,matagami,0,NG,1577326189,24,9.67,8.4,67.06,6.31
214,lagoa,100,PT,1577326189,87,37.14,-8.45,60.01,4.7
215,norman wells,40,CA,1577326189,75,65.28,-126.83,-20.2,8.05
216,saldanha,70,PT,1577326189,87,41.42,-6.55,47.17,2.42
217,yakeshi,100,CN,1577326189,99,49.28,120.73,-20.4,3.0
218,benjamin hill,37,MX,1577326190,82,30.17,-111.1,54.0,1.01
219,aanekoski,90,FI,1577326190,92,62.6,25.73,28.99,5.82
220,bud,99,NO,1577326190,100,62.91,6.91,39.2,1.12
221,batagay,30,RU,1577326190,94,67.65,134.64,-40.77,1.52
222,havoysund,100,NO,1577326191,68,71.0,24.66,30.2,16.11
223,aksarka,14,RU,1577326193,95,66.56,67.8,-16.8,2.01
224,nara,75,JP,1577326098,87,34.68,135.8,52.0,9.17
225,falam,0,MM,1577326193,42,22.91,93.68,63.72,2.04
226,roseburg,1,US,1577326095,75,43.22,-123.34,44.6,1.1
227,klaksvik,0,FO,1577325964,93,62.23,-6.59,39.2,9.17
228,pokhara,0,NP,1577325943,51,28.21,83.99,53.15,1.21
229,cherskiy,96,RU,1577326195,97,68.75,161.3,-33.72,5.48
230,longyearbyen,20,NO,1577326195,61,78.22,15.63,15.8,5.82
231,madhogarh,0,IN,1577326196,38,28.31,76.03,51.04,4.27
232,camocim,30,BR,1577326197,78,-2.9,-40.84,77.43,5.75
233,guerrero negro,7,MX,1577326197,65,27.97,-114.04,58.33,9.71
234,deputatskiy,100,RU,1577326197,100,69.3,139.9,-20.67,2.08
235,kearney,90,US,1577326198,92,40.7,-99.08,30.99,11.41
236,tefe,29,BR,1577326198,98,-3.35,-64.71,72.37,1.66
237,hun,40,BE,1577326199,93,50.34,4.87,37.0,1.12
238,bilma,0,NE,1577326202,33,18.69,12.92,55.18,8.75
239,vostok,97,RU,1577326202,86,46.45,135.83,3.0,3.2
240,clyde river,1,CA,1577326202,83,70.47,-68.59,-13.0,3.36
241,la peca,100,PE,1577326204,83,-5.61,-78.44,69.01,4.23
242,beira,0,ES,1577326204,81,43.2,-8.36,51.01,6.93
243,yashkul,61,RU,1577326204,77,46.17,45.34,31.91,5.21
244,san miguel,75,AR,1577326205,93,-34.54,-58.72,62.6,5.82
245,saint george,40,GR,1577326205,65,39.45,22.34,48.2,4.47
246,noyabrsk,73,RU,1577326205,100,63.2,75.45,-16.6,10.6
247,pimentel,100,BR,1577326206,88,-3.7,-45.5,75.52,2.68
248,palana,94,RU,1577326206,63,59.08,159.95,0.75,8.86
249,bixby,1,US,1577326206,55,35.94,-95.88,64.4,14.99
250,pangnirtung,72,CA,1577326210,53,66.15,-65.72,3.13,5.32
251,conroe,1,US,1577326210,82,30.31,-95.46,63.0,5.82
252,nynashamn,100,SE,1577326210,95,58.9,17.95,37.0,5.82
253,yarmouth,90,CA,1577326153,68,43.84,-66.12,30.2,12.75
254,oban,100,GB,1577326211,88,56.42,-5.47,43.0,1.01
255,banjar,100,ID,1577326214,61,-7.37,108.54,88.07,1.57
256,sultanpur,0,IN,1577326214,52,26.26,82.07,52.56,2.95
257,san vicente,75,EC,1577326214,83,-0.59,-80.41,75.2,10.29
258,bubaque,99,GW,1577326214,64,11.28,-15.83,80.82,4.76
259,longjiang,0,CN,1577326214,68,47.33,123.18,-0.49,3.87
260,novo aripuana,90,BR,1577326215,97,-5.12,-60.38,74.7,2.15
261,leningradskiy,100,RU,1577326215,94,69.38,178.42,-8.28,16.17
262,manavgat,75,TR,1577326215,87,36.79,31.44,48.2,4.7
263,padang,60,ID,1577326215,63,-0.92,100.36,81.9,2.24
264,mount isa,0,AU,1577326215,11,-20.73,139.49,104.0,14.99
265,virginia beach,75,US,1577325924,93,36.85,-75.98,45.0,1.23
266,abonnema,0,NG,1577326215,94,4.71,6.79,68.0,4.72
267,bolobo,100,CD,1577326218,84,-2.17,16.23,75.51,2.77
268,mersin,75,TR,1577326218,93,36.81,34.63,50.0,11.41
269,martyush,100,RU,1577326218,87,56.4,61.89,22.06,2.28
270,nchelenge,100,ZM,1577326219,87,-9.35,28.74,70.36,1.95
271,lander,90,US,1577326219,68,42.83,-108.73,30.2,4.7
272,pachino,0,IT,1577326219,93,36.72,15.09,48.99,4.7
273,jalu,32,LY,1577326219,75,29.03,21.55,53.44,11.56
274,rorvik,100,NO,1577326219,92,64.86,11.24,33.01,9.95
275,payo,76,ID,1577326219,61,-3.75,103.64,80.33,3.67
276,merritt island,90,US,1577326219,69,28.54,-80.67,73.4,8.05
277,gizo,75,IL,1577326219,62,31.8,34.94,59.0,19.46
278,mackenzie,90,CA,1577326219,92,55.34,-123.09,17.6,6.93
279,abha,51,SA,1577326219,93,18.22,42.5,51.8,5.82
280,nogliki,100,RU,1577326219,76,51.8,143.14,-5.42,7.14
281,mweka,100,CD,1577326219,98,-4.85,21.56,67.95,0.94
282,charters towers,35,AU,1577326219,45,-20.07,146.27,89.8,16.62
283,plyussa,100,RU,1577326219,96,58.42,29.37,37.6,5.1
284,kapit,44,MY,1577326220,67,2.02,112.94,86.36,1.88
285,verkhoyansk,49,RU,1577326220,96,67.55,133.39,-41.35,1.97
286,haines junction,90,CA,1577326220,95,60.75,-137.51,21.51,5.77
287,turukhansk,82,RU,1577326221,99,65.8,87.96,-11.78,1.74
288,rudnogorsk,100,RU,1577326221,95,57.27,103.75,2.68,6.58
289,kemi,90,FI,1577326221,100,65.74,24.56,28.4,8.05
290,tura,100,RU,1577326221,99,64.27,100.22,-18.38,2.64
291,awbari,0,LY,1577326222,52,26.59,12.77,48.87,3.8
292,rock sound,25,BS,1577326222,77,24.9,-76.2,76.62,19.86
293,flinders,0,AU,1577326222,45,-34.58,150.85,88.0,12.75
294,baghmara,70,IN,1577326222,62,23.8,86.21,61.27,2.8
295,jeremie,69,HT,1577326222,93,18.65,-74.12,69.08,1.88
296,comodoro rivadavia,96,AR,1577326222,34,-45.87,-67.48,66.2,23.04
297,torbay,90,CA,1577326222,92,47.66,-52.73,28.99,28.86
298,ovruch,100,UA,1577326222,97,51.33,28.8,40.91,3.85
299,sayyan,100,YE,1577326223,60,15.17,44.32,44.51,0.67
300,dunedin,100,NZ,1577326087,80,-45.87,170.5,57.63,17.2
301,cervo,2,BR,1577326223,89,-22.19,-46.24,62.22,3.98
302,santa lucia,0,IT,1577326223,70,41.98,12.66,48.99,6.93
303,ukiah,20,US,1577326223,61,39.15,-123.21,48.99,6.93
304,mani,0,NG,1577326223,11,12.12,6.75,60.24,10.98
305,cockburn town,48,TC,1577326224,74,21.46,-71.14,77.05,15.32
306,kitami,20,JP,1577326233,67,43.8,143.9,24.8,4.7
307,waipawa,100,NZ,1577326235,80,-39.94,176.59,62.01,3.0
308,huarmey,91,PE,1577326236,86,-10.07,-78.15,64.76,2.24
309,fortuna,1,US,1577326236,87,40.6,-124.16,46.4,3.36
310,new philadelphia,20,US,1577325961,75,40.49,-81.45,45.0,6.93
311,aksum,0,ET,1577326236,31,14.12,38.72,54.16,3.42
312,milagro,92,EC,1577326236,69,-2.13,-79.59,82.4,11.41
313,sorland,51,NO,1577326238,70,67.67,12.69,37.69,9.84
314,nizwa,0,OM,1577326238,55,22.93,57.53,53.76,2.46
315,mehamn,90,NO,1577326238,76,71.03,27.85,32.0,16.11
316,cayenne,100,GF,1577326238,94,4.94,-52.33,78.8,5.79
317,yar-sale,0,RU,1577326238,97,66.83,70.83,-16.58,8.34
318,morgan city,90,US,1577326239,100,29.7,-91.21,63.0,4.7
319,cidreira,0,BR,1577326239,89,-30.17,-50.22,74.46,18.32
320,verkhnyaya toyma,100,RU,1577326240,95,62.24,45.0,32.02,6.2
321,nizhniy baskunchak,58,RU,1577326240,69,48.22,46.83,29.52,4.29
322,kodiak,1,US,1577326240,62,39.95,-94.76,59.0,10.29
323,tubuala,40,PA,1577326240,88,9.52,-79.03,78.8,11.07
324,katsuura,75,JP,1577326241,93,33.93,134.5,52.0,5.82
325,purpe,80,RU,1577326242,78,64.48,76.69,-20.99,10.04
326,berlevag,90,NO,1577326242,65,70.86,29.09,32.0,16.11
327,port macquarie,0,AU,1577326242,47,-31.43,152.91,88.0,16.11
328,pandan niog,100,PH,1577326245,74,6.23,120.56,82.09,6.58
329,kuala terengganu,20,MY,1577326245,88,5.33,103.14,77.0,3.36
330,benguela,100,AO,1577326245,81,-12.58,13.4,78.51,0.85
331,chulym,24,RU,1577326245,93,55.09,80.97,-6.34,3.51
332,turrialba,20,CR,1577326245,73,9.91,-83.68,73.4,11.41
333,broken hill,0,AU,1577326245,16,-31.97,141.45,93.2,8.05
334,ciudad bolivar,42,VE,1577326246,73,8.12,-63.55,77.54,6.15
335,east london,40,ZA,1577326246,71,-33.02,27.91,68.47,1.77
336,chimbote,100,PE,1577326249,81,-9.08,-78.59,67.55,6.42
337,cabedelo,20,BR,1577326249,83,-6.97,-34.84,78.8,6.93
338,madimba,75,CM,1577326252,94,4.42,9.93,82.4,1.23
339,innisfail,8,AU,1577326253,48,-17.52,146.03,90.0,3.0
340,rocha,95,UY,1577326253,81,-34.48,-54.34,64.17,9.57
341,masuguru,40,MZ,1577326254,85,-11.38,38.46,74.8,0.87
342,ulan-ude,20,RU,1577326254,67,51.84,107.58,-27.4,5.95
343,lanzhou,0,CN,1577326254,84,36.06,103.82,26.01,4.47
344,teguise,100,ES,1577326254,56,29.06,-13.56,69.8,13.87
345,pisco,82,PE,1577326254,82,-13.71,-76.2,68.0,12.75
346,shumskiy,100,RU,1577326255,93,54.83,99.13,15.06,5.44
347,chara,40,GR,1577326255,65,39.42,22.43,48.2,4.47
348,nantucket,1,US,1577326258,86,41.28,-70.1,32.0,4.7
349,changli,99,CN,1577326258,27,30.54,105.42,48.76,11.27
350,tolga,100,DZ,1577326268,50,34.73,5.38,55.4,3.36
351,muroto,75,JP,1577326268,93,33.37,134.14,53.6,6.93
352,alice springs,8,AU,1577326269,9,-23.7,133.88,102.2,17.22
353,tuatapere,100,NZ,1577326269,71,-46.13,167.69,57.99,11.99
354,egvekinot,82,RU,1577326031,91,66.32,-179.17,-16.6,6.93
355,boa vista,40,BR,1577326269,74,2.82,-60.67,82.4,3.36
356,kavieng,100,PG,1577326269,76,-2.57,150.8,82.69,12.53
357,mbuji-mayi,100,CD,1577326270,94,-6.13,23.6,69.06,2.1
358,syracuse,1,US,1577326028,86,43.05,-76.15,37.0,3.31
359,puerto cabezas,0,NI,1577326270,87,14.04,-83.39,69.22,5.06
360,taoudenni,0,ML,1577326270,26,22.68,-3.98,61.0,7.61
361,manokwari,100,ID,1577326270,75,-0.87,134.08,81.28,6.73
362,paamiut,0,GL,1577326273,44,61.99,-49.67,27.36,7.2
363,ankang,50,CN,1577326273,26,32.73,108.99,41.5,3.13
364,mbandaka,100,CD,1577326274,88,0.05,18.26,72.72,2.44
365,horsham,0,AU,1577326276,9,-36.71,142.2,93.36,5.44
366,codrington,75,AU,1577326276,51,-28.95,153.24,84.2,12.75
367,nalut,1,LY,1577326276,50,31.86,10.98,51.71,8.43
368,mirnyy,100,RU,1577326277,87,56.57,36.46,33.82,2.84
369,barranca,90,PE,1577326281,88,-10.75,-77.76,67.89,10.38
370,eyl,6,SO,1577326281,74,7.98,49.82,75.51,22.28
371,alofi,100,NU,1577326281,62,-19.06,-169.92,84.2,16.11
372,burnie,82,AU,1577326282,27,-41.05,145.91,79.0,14.0
373,vila vicosa,97,PT,1577326285,89,38.78,-7.42,49.14,1.95
374,mandalgovi,13,MN,1577326286,61,45.76,106.27,5.02,18.77
375,araucaria,75,BR,1577326186,100,-25.59,-49.41,68.0,4.7
376,los llanos de aridane,46,ES,1577326289,30,28.66,-17.92,69.8,8.05
377,hami,63,CN,1577326289,50,42.84,93.51,19.83,0.34
378,sharlyk,63,RU,1577326289,88,52.93,54.74,13.46,10.8
379,san angelo,1,US,1577326289,51,31.46,-100.44,60.8,5.82
380,qaqortoq,78,GL,1577326290,27,60.72,-46.03,35.6,24.16
381,ulaangom,100,MN,1577326290,98,49.98,92.07,-7.76,2.1
382,muros,75,ES,1577326290,93,42.77,-9.06,54.0,2.24
383,ninghai,75,CN,1577326290,81,29.29,121.42,57.99,11.18
384,cassilandia,37,BR,1577326290,87,-19.11,-51.73,73.33,0.74
